Date,opening_price,highest_price,lowest_price,closing_price,transactions_in_blockchain,avg_block_size,sent_by_adress,avg_mining_difficulty,avg_hashrate,mining_profitability,sent_coins_in_usd,avg_transaction_fees,median_transaction_fees,avg_block_time,avg_transaction_value,median_transaction_value,tweets,google_trends,active_addresses,top100_to_total_percentage,avg_fee_to_reward,number_of_coins_in_circulation,miner_revenue,next_day_closing_price
2013-06-03,128.77,128.8,117.02,123.0,55661,126405,50085,12153412,1.2437809973374E+14,5209,83847047,0.127,0.0602,6.761,1676,87.362,8193,5.602,79854,19.797,1.098,11243375.0,640691.07182,123.22
2013-06-04,123.35,125.01,117.0,123.22,57409,129712,52194,12153412,1.2528405884592E+14,5139,70114385,0.113,0.0598,6.761,1364,97.318,8193,6.163,78631,19.784,1.012,11243600.0,674785.549424747,120.57
2013-06-05,123.22,123.66,116.32,120.57,56376,147738,48878,13466757,1.390330022705E+14,4025,74109198,0.128,0.06,7.826,1439,82.056,8193,5.602,78667,19.869,1.294,11252875.0,542260.08014,121.2
2013-06-06,120.58,122.74,119.65,121.2,54457,143446,50622,15605633,1.4238987506043E+14,3829,83075105,0.0905,0.0597,7.956,1649,78.772,8193,5.042,73267,19.817,0.907,11256900.0,448349.21565,118.78
2013-06-07,120.98,121.33,118.43,118.78,52027,154774,51368,15605633,1.252010342321E+14,3733,70578908,0.0866,0.0575,8.944,1486,98.733,8193,5.602,73768,19.816,0.967,11254800.0,483513.334941159,110.18
2013-06-08,118.78,119.16,107.0,110.18,48037,122841,38891,15605633,1.318326852356E+14,3834,39307053,0.106,0.0553,7.956,909.799,77.985,8193,5.602,58257,19.852,1.012,11265275.0,414659.06495,109.11
2013-06-09,110.17,112.46,108.44,109.11,44312,133968,37114,15605633,1.3564226720386E+14,3133,67749541,0.0862,0.053,9.057,1599,71.689,8193,7.283,56600,19.914,0.902,11266025.0,475927.22434,100.17
2013-06-10,109.11,110.0,90.0,100.17,44826,118654,42173,15605633,1.3586293318072E+14,3358,47961592,0.08,0.052,8.276,1124,80.152,8193,6.163,60963,19.909,0.789,11274175.0,494760.665586696,104.22
2013-06-11,100.17,107.9,93.1,104.22,49483,123117,45422,15605633,1.3133312177356E+14,3690,58356626,0.103,0.0533,8,1274,81.931,8193,6.163,66609,19.881,1.052,11279175.0,545461.01643,107.36
2013-06-12,104.21,108.0,102.97,107.36,45704,106190,43353,15605633,1.5032455130489E+14,3678,55654391,0.101,0.054,7.094,1335,87.854,8193,6.163,63763,19.976,0.835,11277450.0,530067.0,106.56
2013-06-13,107.35,111.18,105.01,106.56,43007,108034,46238,15605633,1.5494478523729E+14,3238,60666906,0.102,0.0535,7.742,1499,106.838,8193,5.042,66341,19.971,0.875,11288300.0,517965.950830181,102.0
2013-06-14,106.1,108.43,95.0,102.0,49992,130612,55817,15605633,1.3717599999431E+14,3401,70373331,0.0747,0.0514,8,1489,96.777,8193,5.042,75762,19.998,0.804,11288500.0,452440.80126,99.01
2013-06-15,101.86,102.95,95.0,99.01,35653,96541,37365,15605633,1.3767092155602E+14,3173,38748897,0.0928,0.0501,8.324,1155,91.151,8193,5.042,53810,20.004,0.761,11297375.0,470400.0,99.42
2013-06-16,99.01,105.0,96.22,99.42,42781,106424,34036,15948723,1.4693328121558E+14,3180,47355820,0.0734,0.0502,7.784,1205,56.682,8193,5.042,48785,20.032,0.675,11301225.0,474220.279189203,99.37
2013-06-17,99.43,101.11,98.0,99.37,45798,143147,41101,19339258,1.5852012141E+14,2330,55165386,0.0811,0.0504,9.931,1263,65.66,8193,5.042,56902,20.043,1.01,11299700.0,395839.50314,100.0
2013-06-18,98.74,101.47,98.29,100.0,45877,149470,44895,19339258,1.4411653704182E+14,2545,62073715,0.0853,0.0518,10.286,1441,82.565,8193,6.163,63562,20.043,1.071,11308000.0,340866.435,104.5
2013-06-19,100.39,108.18,99.99,104.5,46895,160240,48670,19339258,1.2167324689765E+14,2969,56517915,0.0838,0.0526,10.588,1294,75.327,8193,4.482,69145,20.077,1.091,11311650.0,369143.306783338,105.24
2013-06-20,104.49,107.5,102.0,105.24,52361,158334,47024,19339258,1.4320240638295E+14,2897,71831011,0.141,0.0529,9.351,1506,64.724,8193,4.482,67644,20.07,1.788,11310750.0,486180.0,102.61
